,Date,Open,High,Low,Close,Adj Close,Volume,Day of Week,%_CloseChange
170,2023-05-09,18303.400390625,18344.19921875,18229.650390625,18265.94921875,18265.94921875,245400,Tuesday,0.00848003817193188
171,2023-05-10,18313.599609375,18326.75,18211.94921875,18315.099609375,18315.099609375,220500,Wednesday,0.26908205008338015
172,2023-05-11,18357.80078125,18389.69921875,18270.400390625,18297.0,18297.0,248900,Thursday,-0.09882342854272697
173,2023-05-12,18273.75,18342.75,18194.55078125,18314.80078125,18314.80078125,241700,Friday,0.09728797753729701
174,2023-05-15,18339.30078125,18458.900390625,18287.900390625,18398.849609375,18398.849609375,216100,Monday,0.45891205221868514
175,2023-05-16,18432.349609375,18432.349609375,18264.349609375,18286.5,18286.5,219500,Tuesday,-0.6106338807060685
176,2023-05-17,18300.44921875,18309.0,18115.349609375,18181.75,18181.75,229900,Wednesday,-0.5728269488420423
177,2023-05-18,18287.5,18297.19921875,18104.849609375,18129.94921875,18129.94921875,272100,Thursday,-0.2849053652701161
178,2023-05-19,18186.150390625,18218.099609375,18060.400390625,18203.400390625,18203.400390625,260900,Friday,0.40513721791914925
179,2023-05-22,18201.099609375,18335.25,18178.849609375,18314.400390625,18314.400390625,262600,Monday,0.6097761825706316
180,2023-05-23,18362.900390625,18419.75,18324.19921875,18348.0,18348.0,270400,Tuesday,0.1834600568861644
181,2023-05-24,18294.80078125,18392.599609375,18262.94921875,18285.400390625,18285.400390625,232600,Wednesday,-0.34117947119577385
182,2023-05-25,18268.900390625,18338.099609375,18202.400390625,18321.150390625,18321.150390625,235900,Thursday,0.19551116867164708
183,2023-05-26,18368.349609375,18508.55078125,18333.150390625,18499.349609375,18499.349609375,198700,Friday,0.9726420827874671
184,2023-05-29,18619.150390625,18641.19921875,18581.25,18598.650390625,18598.650390625,265300,Monday,0.5367798508963517
185,2023-05-30,18606.650390625,18662.44921875,18575.5,18633.849609375,18633.849609375,234400,Tuesday,0.18925684396833287
186,2023-05-31,18594.19921875,18603.900390625,18483.849609375,18534.400390625,18534.400390625,696500,Wednesday,-0.533701950132548
187,2023-06-01,18579.400390625,18580.30078125,18464.55078125,18487.75,18487.75,265600,Thursday,-0.25169624936233204
188,2023-06-02,18550.849609375,18573.69921875,18478.400390625,18534.099609375,18534.099609375,270900,Friday,0.2507044360454902
189,2023-06-05,18612.0,18640.150390625,18582.80078125,18593.849609375,18593.849609375,256100,Monday,0.3223787573137793
190,2023-06-06,18600.80078125,18622.75,18531.599609375,18599.0,18599.0,220800,Tuesday,0.027699431442118616
191,2023-06-07,18665.599609375,18738.94921875,18636.0,18726.400390625,18726.400390625,260100,Wednesday,0.6849851638528914
192,2023-06-08,18725.349609375,18777.900390625,18615.599609375,18634.55078125,18634.55078125,286500,Thursday,-0.49048192636628185
193,2023-06-09,18655.900390625,18676.650390625,18555.400390625,18563.400390625,18563.400390625,221800,Friday,-0.381819725413457
194,2023-06-12,18595.05078125,18633.599609375,18559.75,18601.5,18601.5,179500,Monday,0.20524046550352004
195,2023-06-13,18631.80078125,18728.900390625,18631.80078125,18716.150390625,18716.150390625,233200,Tuesday,0.6163502439319402
196,2023-06-14,18744.599609375,18769.69921875,18690.0,18755.900390625,18755.900390625,261400,Wednesday,0.21238341844009856
197,2023-06-15,18774.44921875,18794.099609375,18669.05078125,18688.099609375,18688.099609375,263000,Thursday,-0.36149041015322014
198,2023-06-16,18723.30078125,18864.69921875,18710.5,18826.0,18826.0,272800,Friday,0.7379048352023077
199,2023-06-19,18873.30078125,18881.44921875,18719.150390625,18755.44921875,18755.44921875,219800,Monday,-0.37475183921172883
200,2023-06-20,18752.349609375,18839.69921875,18660.650390625,18816.69921875,18816.69921875,211600,Tuesday,0.3265717567498605
201,2023-06-21,18849.400390625,18875.900390625,18794.849609375,18856.849609375,18856.849609375,217500,Wednesday,0.21337637466720683
202,2023-06-22,18853.599609375,18886.599609375,18759.5,18771.25,18771.25,252700,Thursday,-0.4539443817404343
203,2023-06-23,18741.849609375,18756.400390625,18647.099609375,18665.5,18665.5,210600,Friday,-0.5633615236065759
204,2023-06-26,18682.349609375,18722.05078125,18646.69921875,18691.19921875,18691.19921875,171300,Monday,0.13768299134766515
205,2023-06-27,18748.55078125,18829.25,18714.25,18817.400390625,18817.400390625,222500,Tuesday,0.675190341711196
206,2023-06-28,18908.150390625,19011.25,18861.349609375,18972.099609375,18972.099609375,398800,Wednesday,0.822107281232487
207,2023-06-30,19076.849609375,19201.69921875,19024.599609375,19189.05078125,19189.05078125,247900,Friday,1.143527476356887
208,2023-07-03,19246.5,19345.099609375,19234.400390625,19322.55078125,19322.55078125,226100,Monday,0.695709243369369
209,2023-07-04,19406.599609375,19434.150390625,19300.0,19389.0,19389.0,226900,Tuesday,0.3438946519135566
210,2023-07-05,19405.94921875,19421.599609375,19339.599609375,19398.5,19398.5,224400,Wednesday,0.04899685388621844
211,2023-07-06,19385.69921875,19512.19921875,19373.0,19497.30078125,19497.30078125,268300,Thursday,0.509321758125636
212,2023-07-07,19422.80078125,19523.599609375,19303.599609375,19331.80078125,19331.80078125,237100,Friday,-0.848835445771845
213,2023-07-10,19400.349609375,19435.849609375,19327.099609375,19355.900390625,19355.900390625,268200,Monday,0.12466303397029588
214,2023-07-11,19427.099609375,19515.099609375,19406.44921875,19439.400390625,19439.400390625,251300,Tuesday,0.43139300324381846
215,2023-07-12,19497.44921875,19507.69921875,19361.75,19384.30078125,19384.30078125,327900,Wednesday,-0.2834429471475497
216,2023-07-13,19495.19921875,19567.0,19385.80078125,19413.75,19413.75,310400,Thursday,0.1519230385574888
217,2023-07-14,19493.44921875,19595.349609375,19433.5,19564.5,19564.5,291200,Friday,0.7765114931427508
218,2023-07-17,19612.150390625,19731.849609375,19562.94921875,19711.44921875,19711.44921875,268700,Monday,0.7511013251041421
219,2023-07-18,19787.5,19819.44921875,19690.19921875,19749.25,19749.25,286400,Tuesday,0.1917706853032497
220,2023-07-19,19802.94921875,19851.69921875,19727.44921875,19833.150390625,19833.150390625,259700,Wednesday,0.4248282371482448
221,2023-07-20,19831.69921875,19991.849609375,19758.400390625,19979.150390625,19979.150390625,274700,Thursday,0.7361412439498949
222,2023-07-21,19800.44921875,19887.400390625,19700.0,19745.0,19745.0,312500,Friday,-1.1719737128305097
223,2023-07-24,19748.44921875,19782.75,19658.30078125,19672.349609375,19672.349609375,265600,Monday,-0.3679432292985618
224,2023-07-25,19729.349609375,19729.349609375,19615.94921875,19680.599609375,19680.599609375,369700,Tuesday,0.04193703428323481
225,2023-07-26,19733.349609375,19825.599609375,19716.69921875,19778.30078125,19778.30078125,244700,Wednesday,0.4964339187534694
226,2023-07-27,19850.900390625,19867.55078125,19603.55078125,19659.900390625,19659.900390625,334900,Thursday,-0.598637830087223
227,2023-07-28,19659.75,19695.900390625,19563.099609375,19646.05078125,19646.05078125,258700,Friday,-0.07044597937843067
228,2023-07-31,19666.349609375,19772.75,19597.599609375,19753.80078125,19753.80078125,295100,Monday,0.5484562836559181
229,2023-08-01,19784.0,19795.599609375,19704.599609375,19733.55078125,19733.55078125,298000,Tuesday,-0.10251191770254131
230,2023-08-02,19655.400390625,19678.25,19423.55078125,19526.55078125,19526.55078125,290700,Wednesday,-1.0489749274959825
231,2023-08-03,19463.75,19537.650390625,19296.44921875,19381.650390625,19381.650390625,315700,Thursday,-0.7420685416911321
